,Accession ID,Collection date,Submission date,Location,region,country,state,county
122,EPI_ISL_6810483,2021-11-16,2021-11-27,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
123,EPI_ISL_6810484,2021-11-19,2021-11-27,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
124,EPI_ISL_6810485,2021-11-22,2021-11-27,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
125,EPI_ISL_6810487,2021-11-22,2021-11-27,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
126,EPI_ISL_6814922,2021-11-27,2021-11-28,Oceania / Australia / New South Wales / Sydney,Oceania,Australia,New South Wales,Sydney
127,EPI_ISL_6814923,2021-11-27,2021-11-28,Oceania / Australia / New South Wales / Sydney,Oceania,Australia,New South Wales,Sydney
128,EPI_ISL_6818284,2021-11-21,2021-11-28,Europe / United Kingdom / England,Europe,United Kingdom,England,
129,EPI_ISL_6821008,2021-11-20,2021-11-28,Europe / United Kingdom / England,Europe,United Kingdom,England,
130,EPI_ISL_6825389,2021-11-17,2021-11-28,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
131,EPI_ISL_6825390,2021-11-17,2021-11-28,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
132,EPI_ISL_6825391,2021-11-16,2021-11-28,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
133,EPI_ISL_6825392,2021-11-16,2021-11-28,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
134,EPI_ISL_6825393,2021-11-16,2021-11-28,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
135,EPI_ISL_6825394,2021-11-16,2021-11-28,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
136,EPI_ISL_6825395,2021-11-16,2021-11-28,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
137,EPI_ISL_6825396,2021-11-16,2021-11-28,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
138,EPI_ISL_6825397,2021-11-16,2021-11-28,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
